periode_data,bulan,tanggal,stasiun,pm_sepuluh,pm_duakomalima,sulfur_dioksida,karbon_monoksida,ozon,nitrogen_dioksida,max,parameter_pencemar_kritis,kategori
202401,01,21,DKI3  Jagakarsa,51,65,45,9,8,79,79,null,SEDANG
202401,01,22,DKI3  Jagakarsa,27,34,45,5,8,56,56,null,SEDANG
202401,01,23,DKI3  Jagakarsa,N/A,52,46,6,9,51,52,PM25,SEDANG
202401,01,24,DKI3  Jagakarsa,46,65,46,8,9,38,65,PM25,SEDANG
202401,01,25,DKI3  Jagakarsa,37,55,47,7,11,28,55,PM25,SEDANG
202401,01,26,DKI3  Jagakarsa,43,62,50,7,15,14,62,PM25,SEDANG
202401,01,27,DKI3  Jagakarsa,40,52,48,8,12,10,52,PM25,SEDANG
202401,01,28,DKI3  Jagakarsa,40,62,48,12,12,18,62,PM25,SEDANG
202401,01,29,DKI3  Jagakarsa,33,44,47,14,12,24,47,SO2,BAIK
202401,01,30,DKI3  Jagakarsa,58,46,48,22,12,33,58,PM10,SEDANG
202401,01,31,DKI3  Jagakarsa,37,47,7,26,17,17,47,PM25,BAIK
202401,01,09,DKI2  Kelapa Gading,51,68,58,16,18,53,68,PM25,SEDANG
202401,01,10,DKI2  Kelapa Gading,56,77,61,11,31,43,77,PM25,SEDANG
202401,01,11,DKI2  Kelapa Gading,44,54,56,11,19,27,56,SO2,SEDANG
202401,01,12,DKI2  Kelapa Gading,27,39,57,11,14,52,57,SO2,SEDANG
202401,01,13,DKI2  Kelapa Gading,35,54,57,10,16,28,57,SO2,SEDANG
202401,01,14,DKI2  Kelapa Gading,37,51,57,8,16,22,57,SO2,SEDANG
202401,01,15,DKI2  Kelapa Gading,52,67,58,12,14,32,67,PM25,SEDANG
202401,01,01,DKI1  Bundaran Hotel Indonesia (HI),64,89,52,9,13,30,89,PM25,SEDANG
202401,01,02,DKI1  Bundaran Hotel Indonesia (HI),53,93,52,4,12,28,93,PM25,SEDANG
202401,01,03,DKI1  Bundaran Hotel Indonesia (HI),52,57,52,6,12,27,57,PM25,SEDANG
202401,01,04,DKI1  Bundaran Hotel Indonesia (HI),30,N/A,112,20,8,77,112,SO2,TIDAK SEHAT
202401,01,05,DKI1  Bundaran Hotel Indonesia (HI),22,54,46,15,24,44,54,PM25,SEDANG
202401,01,06,DKI1  Bundaran Hotel Indonesia (HI),49,68,46,12,38,36,68,PM25,SEDANG
202401,01,07,DKI1  Bundaran Hotel Indonesia (HI),52,77,45,14,34,44,77,PM25,SEDANG
202401,01,08,DKI1  Bundaran Hotel Indonesia (HI),49,52,46,10,27,32,52,PM25,SEDANG
202401,01,09,DKI1  Bundaran Hotel Indonesia (HI),50,62,48,13,25,31,62,PM25,SEDANG
202401,01,10,DKI1  Bundaran Hotel Indonesia (HI),49,66,49,10,34,41,66,PM25,SEDANG
202401,01,11,DKI1  Bundaran Hotel Indonesia (HI),51,58,47,10,24,36,58,PM25,SEDANG
202401,01,12,DKI1  Bundaran Hotel Indonesia (HI),30,26,45,8,18,21,45,SO2,BAIK
202401,01,13,DKI1  Bundaran Hotel Indonesia (HI),34,53,46,8,25,25,53,PM25,SEDANG
202401,01,14,DKI1  Bundaran Hotel Indonesia (HI),39,49,45,6,20,20,49,PM25,BAIK
202401,01,15,DKI1  Bundaran Hotel Indonesia (HI),55,72,47,10,21,30,72,PM25,SEDANG
202401,01,16,DKI1  Bundaran Hotel Indonesia (HI),41,47,48,10,25,24,48,SO2,BAIK
202401,01,17,DKI1  Bundaran Hotel Indonesia (HI),45,54,51,8,16,30,54,PM25,SEDANG
202401,01,18,DKI1  Bundaran Hotel Indonesia (HI),45,58,47,11,14,27,58,PM25,SEDANG
202401,01,19,DKI1  Bundaran Hotel Indonesia (HI),19,31,46,N/A,12,20,46,SO2,BAIK
202401,01,20,DKI1  Bundaran Hotel Indonesia (HI),26,28,44,N/A,17,17,44,SO2,BAIK
202401,01,21,DKI1  Bundaran Hotel Indonesia (HI),36,50,46,6,15,14,50,PM25,BAIK
202401,01,22,DKI1  Bundaran Hotel Indonesia (HI),24,26,44,3,17,11,44,SO2,BAIK
202401,01,23,DKI1  Bundaran Hotel Indonesia (HI),20,38,44,5,15,12,44,SO2,BAIK
202401,01,24,DKI1  Bundaran Hotel Indonesia (HI),31,37,45,8,14,14,45,SO2,BAIK
202401,01,25,DKI1  Bundaran Hotel Indonesia (HI),43,56,48,11,14,22,56,PM25,SEDANG
202401,01,26,DKI1  Bundaran Hotel Indonesia (HI),39,59,48,9,17,26,59,PM25,SEDANG
202401,01,27,DKI1  Bundaran Hotel Indonesia (HI),21,18,45,N/A,17,22,45,SO2,BAIK
202401,01,28,DKI1  Bundaran Hotel Indonesia (HI),35,53,45,13,17,30,53,PM25,SEDANG
202401,01,29,DKI1  Bundaran Hotel Indonesia (HI),30,N/A,44,8,17,28,44,SO2,BAIK
202401,01,30,DKI1  Bundaran Hotel Indonesia (HI),39,67,46,31,14,28,67,PM25,SEDANG
202401,01,31,DKI1  Bundaran Hotel Indonesia (HI),25,49,47,19,24,30,49,PM25,BAIK
202401,01,01,DKI2  Kelapa Gading,67,103,34,18,26,N/A,103,PM25,TIDAK SEHAT
202401,01,02,DKI2  Kelapa Gading,53,74,35,9,27,N/A,74,PM25,SEDANG
202401,01,03,DKI2  Kelapa Gading,43,56,N/A,7,25,20,56,PM25,SEDANG
202401,01,04,DKI2  Kelapa Gading,42,62,57,10,22,20,62,PM25,SEDANG
202401,01,05,DKI2  Kelapa Gading,38,55,56,14,16,45,56,SO2,SEDANG
202401,01,06,DKI2  Kelapa Gading,46,68,58,9,29,26,68,PM25,SEDANG
202401,01,07,DKI2  Kelapa Gading,59,87,59,14,34,29,87,PM25,SEDANG
202401,01,08,DKI2  Kelapa Gading,44,55,57,11,19,23,57,SO2,SEDANG
202401,01,16,DKI2  Kelapa Gading,29,50,58,6,14,32,58,SO2,SEDANG
202401,01,17,DKI2  Kelapa Gading,35,51,59,8,12,44,59,SO2,SEDANG
202401,01,18,DKI2  Kelapa Gading,47,58,57,15,12,44,58,PM25,SEDANG
202401,01,19,DKI2  Kelapa Gading,21,32,56,8,12,21,56,SO2,SEDANG
202401,01,20,DKI2  Kelapa Gading,25,32,54,7,13,18,54,SO2,SEDANG
202401,01,21,DKI2  Kelapa Gading,31,48,54,8,13,18,54,SO2,SEDANG
202401,01,22,DKI2  Kelapa Gading,21,30,53,6,13,11,53,SO2,SEDANG
202401,01,23,DKI2  Kelapa Gading,29,38,53,6,12,14,53,SO2,SEDANG
202401,01,24,DKI2  Kelapa Gading,29,41,53,7,13,17,53,SO2,SEDANG
202401,01,25,DKI2  Kelapa Gading,40,58,55,9,14,38,58,PM25,SEDANG
202401,01,26,DKI2  Kelapa Gading,55,69,59,7,14,43,69,PM25,SEDANG
202401,01,27,DKI2  Kelapa Gading,24,23,53,5,16,17,53,SO2,SEDANG
202401,01,28,DKI2  Kelapa Gading,39,55,54,15,14,47,55,PM25,SEDANG
